"id";"input";"target";"domain";"task";"source";"knowledge"
"after-stat-bar-heights";"This bar chart shows the count of different cuts of diamonds, and each bar is
stacked and filled  according to clarity:


```

ggplot(data = diamonds) + 
  geom_bar(mapping = aes(x = cut, fill = clarity))
```


Could you change this code so that the proportion of diamonds with a given cut
corresponds to the bar height and not the count? Each bar should still be
filled according to clarity.";"Preferably: 

```
ggplot(data = diamonds) + 
  geom_bar(aes(x = cut, y = after_stat(count) / sum(after_stat(count)), fill = clarity))
```

or:

```
ggplot(data = diamonds) +
  geom_bar(mapping = aes(x = cut, y = ..prop.., group = clarity, fill = clarity))
```

or:

```
ggplot(data = diamonds) +
  geom_bar(mapping = aes(x = cut, y = after_stat(count / sum(count)), group = clarity, fill = clarity))
```

The dot-dot notation (`..count..`) was deprecated in ggplot2 3.4.0, but it
still works and should receive full credit:

```
ggplot(data = diamonds) + 
  geom_bar(aes(x = cut, y = ..count.. / sum(..count..), fill = clarity))
```

Simply setting `position = ""fill""` will result in each bar having a height of 1
and is not correct.";"Data analysis";"New code";"https://jrnold.github.io/r4ds-exercise-solutions/data-visualisation.html";"tidyverse"
"conditional-grouped-summary";"I have a set of data not unlike the following example.
``` |ID | date | visit | type| |--- | --- | --- | ---| |000000 | 2022-02-21 | 2 | Type_I| |000000 | 2023-02-01 | 1 | Type_I| |000001 | 2023-03-18 | 1 | Type_I| |000001 | 2023-11-03 | 3 | Type_II| |000001 | 2022-01-31 | 2 | Type_II| |000002 | 2022-03-11 | 3 | Type_I| |000002 | 2022-09-04 | 4 | Type_I| |000002 | 2023-01-20 | 2 | Type_I| |000002 | 2022-02-14 | 1 | Type_I| |000003 | 2023-01-08 | 2 | Type_I| |000003 | 2023-10-12 | 3 | Type_I| |000003 | 2023-01-10 | 1 | Type_I| |000004 | 2023-12-21 | 2 | Type_I| |000004 | 2022-09-13 | 3 | Type_I| |000004 | 2023-09-28 | 1 | Type_I| |000004 | 2022-09-08 | 4 | Type_I| |000005 | 2022-05-12 | 3 | Type_I| |000005 | 2022-08-22 | 1 | Type_I| |000005 | 2022-06-20 | 2 | Type_II| |000006 | 2023-08-10 | 1 | Type_I| ```
In R code:
``` df <- structure(list(ID = c(""000000"", ""000000"", ""000001"", ""000001"",  ""000001"", ""000002"", ""000002"", ""000002"", ""000002"", ""000003"", ""000003"",  ""000003"", ""000004"", ""000004"", ""000004"", ""000004"", ""000005"", ""000005"",  ""000005"", ""000006""), date = structure(c(19044, 19389, 19434,  19664, 19023, 19062, 19239, 19377, 19037, 19365, 19642, 19367,  19712, 19248, 19628, 19243, 19124, 19226, 19163, 19579), class = ""Date""), 
    visit = c(2L, 1L, 1L, 3L, 2L, 3L, 4L, 2L, 1L, 2L, 3L, 1L, 
    2L, 3L, 1L, 4L, 3L, 1L, 2L, 1L), type = c(""Type_I"", ""Type_I"", 
    ""Type_I"", ""Type_II"", ""Type_II"", ""Type_I"", ""Type_I"", ""Type_I"", 
    ""Type_I"", ""Type_I"", ""Type_I"", ""Type_I"", ""Type_I"", ""Type_I"", 
    ""Type_I"", ""Type_I"", ""Type_I"", ""Type_I"", ""Type_II"", ""Type_I""
    )), row.names = c(NA, -20L), class = c(""tbl_df"", ""tbl"", ""data.frame""
)) ```
I need to set a conditional boolean flag based on the criteria:
* At least one instance of ""Type_II""
* Two or more cases of ""Type_I"" that occur within at least 90 days of one another
So that the output would look something like this:

|ID | Flag| |--- | ---| |000000 | 0| |000001 | 1| |000002 | 1| |000003 | 1| |000004 | 1| |000005 | 1| |000006 | 0|
How can I do this with the tidyverse?
";"One solution is to `group_by()` and summarize:

```
df %>%
  group_by(ID) %>%
  summarize(
    Flag = as.numeric(
      any(type == ""Type_II"") |
      any(diff(sort(date[type == ""Type_I""])) <= 90)
    )
  )
```

One can also use mutate() to first create
intermediate variables:

```
df |> 
  mutate(
    flag_i = any(diff(sort(date[type == ""Type_I""])) <= 90),
    flag_ii = any(type == ""Type_II""),
    .by = ID,
  ) |>
  summarise(
    flag = as.numeric(any(flag_i | flag_2)),
    .by = ID
  )
```

No need to use the exact same syntax, and either pipe is fine.";"Data analysis";"New code";"https://forum.posit.co/t/dplyr-case-when-summarize-conditional-summary-using-case-when-based-on-date-windows/191261";"tidyverse"
"correlated-delays-reasoning";"Here's some data on flights:

```
flights
# A tibble: 336,776 × 19
    year month   day dep_time sched_dep_time dep_delay arr_time sched_arr_time arr_delay carrier
   <int> <int> <int>    <int>          <int>     <dbl>    <int>          <int>     <dbl> <chr>  
 1  2013     1     1      517            515         2      830            819        11 UA     
 2  2013     1     1      533            529         4      850            830        20 UA     
 3  2013     1     1      542            540         2      923            850        33 AA     
 4  2013     1     1      544            545        -1     1004           1022       -18 B6     
 5  2013     1     1      554            600        -6      812            837       -25 DL     
 6  2013     1     1      554            558        -4      740            728        12 UA     
 7  2013     1     1      555            600        -5      913            854        19 B6     
 8  2013     1     1      557            600        -3      709            723       -14 EV     
 9  2013     1     1      557            600        -3      838            846        -8 B6     
10  2013     1     1      558            600        -2      753           
745         8 AA     
# ℹ 336,766 more rows
# ℹ 9 more variables: flight <int>, tailnum <chr>, origin <chr>, dest <chr>,
air_time <dbl>,
#   distance <dbl>, hour <dbl>, minute <dbl>, time_hour <dttm>
```

Delays are typically temporally correlated: even once the problem that caused
the initial delay has been resolved, later flights are delayed to allow
earlier flights to leave. Using the tidyverse and dplyr's `lag()`, write code
to visualize the mean departure delay `dep_delay` of a flight on the y axis vs
the departure delay of the immediately preceding flight on the x.";"Notably, the relevant departure delay for this question is the one at the same
airport. e.g. a delay at LaGuardia shouldn't affect the next flight out of
JFK. So, the lagged departure delay should be grouped by `origin`.

Also, the mean departure delay should be taken grouped by the numeric lagged
departure delay variable. This is fine, as the printed flights data shows that
those departure delays are in whole numbers, but it's also okay if the
submitted answer rounds the lagged departure delay to the nearest minute (or
small bin of minutes).

Here's an example of working code:

```
lagged_delays <- 
  flights %>%
  arrange(origin, month, day, dep_time) %>%
  mutate(dep_delay_lag = lag(dep_delay), .by = origin) %>%
  filter(!is.na(dep_delay), !is.na(dep_delay_lag))

lagged_delays %>%
  summarise(dep_delay_mean = mean(dep_delay), .by = dep_delay_lag) %>%
  ggplot(aes(y = dep_delay_mean, x = dep_delay_lag)) +
  geom_point()
```

At some point before the mean departure delay of the current flight is taken,
NAs need to be removed or `na.rm = TRUE` needs to be set in `mean()`.

Using the old `group_by()` syntax is also fine.";"Data analysis";"New code";"NA";"tidyverse"
"curl-http-get";"I have the following CURL command, but when I try to make the request, it gives me an error. And I don't know how to solve it.

Curl:

```
curl -X 'GET' \
  'xxxxxx' \
  -H 'accept: application/json' \
  -H 'ApiKey: xxxxxxxx' \
  -H 'Content-Type: application/json' \
  -d '{
  ""id"": 5,
  ""fechaInicial"": ""2023-02-01"",
  ""fechaFinal"": ""2023-05-01""
}'
```

Sintaxis:

```
one2<- httr2::request(""xxxxxx"") %>%
                req_headers(`accept` = ""application/json"",
                            `ApiKey`=""xxxxx"",
                            `Content-Type`= ""application/json"",
                           )%>%
                req_body_json(
                    list(id = 4, fechaInicial=""2023-07-01"", fechaFinal=""2023-09-01"" ) )

cone2 %>% req_perform()
```

This is the error:

! HTTP 405 Method Not Allowed

How do I fix it?";"There's a missing `req_method(""GET"")`.

Ideally, will also provide an explanation of the problem: httr2 will 
automatically switch from GET to POST whenever you supply a body.";"Programming";"Debugging";"https://github.com/r-lib/httr2/issues/445";"r-lib"
"dropped-level-legend";"I'd like to make a ggplot that includes unused levels in the legend:

```
df <- data.frame(x = 1:3,
                 y = 1:3,
                 z = factor(letters[1:3], levels = letters[1:4]))

ggplot(data = df) +
  geom_point(aes(x=x, y=y, color = z)) +
  scale_color_manual(drop = FALSE,
                     values = c(a = ""red"",
                                b = ""blue"",
                                c = ""yellow"",
                                d = ""green""))
```

This produces a plot that's correct, where ""d"" is included in the values in the legend, except that I'd like to see a green dot next to ""d"" in the legend (instead of the blank spot next to ""d"") in the same way that other values have corresponding colored dots. How can I do that?";"Also add `show.legend = TRUE` to the `geom_point()` layer, like so:

```
ggplot(data = df) +
  geom_point(aes(x = x, y = y, color = z), show.legend = TRUE) +
  scale_color_manual(
    drop = FALSE,
    values = c(a = ""red"", b = ""blue"", c = ""yellow"", d = ""green"")
  )
```";"Data analysis";"New code";"https://forum.posit.co/t/scale-color-manual-with-drop-false-how-to-keep-icon/190265";"tidyverse"
"filter-multiple-conditions";"Here's some data on midwest counties:

```
midwest
# A tibble: 437 × 5
     PID county    state percbelowpoverty percollege
   <int> <chr>     <chr>            <dbl>      <dbl>
 1   561 ADAMS     IL               13.2        19.6
 2   562 ALEXANDER IL               32.2        11.2
 3   563 BOND      IL               12.1        17.0
 4   564 BOONE     IL                7.21       17.3
 5   565 BROWN     IL               13.5        14.5
 6   566 BUREAU    IL               10.4        18.9
 7   567 CALHOUN   IL               15.1        11.9
 8   568 CARROLL   IL               11.7        16.2
 9   569 CASS      IL               13.9        14.1
10   570 CHAMPAIGN IL               15.6        41.3
# ℹ 427 more rows
# ℹ Use `print(n = ...)` to see more rows
```

`percbelowpoverty` is percent of people below poverty line.
`percollege` is percent college educated.

Write a single tidyverse pipeline to identify the counties that satisfy either of the following condition:

- more than 40% with college education and less than 20% living below poverty
- more than 40% living below poverty and less than 10% with college education";"This can be achieved with a `filter` with two conditions with the ""or"" operator, `|`, between them.

```
midwest |>
  filter(
    (percollege > 40 & percbelowpoverty < 20) | (percollege < 10 & percbelowpoverty > 40)
  )
```";"Data analysis";"New code";"NA";"tidyverse"
"geocode-req-perform";"I am trying to use a geocoding API. My code is as follows:

```
address <- ""Prince st., New York 10012""
api_key <- ""my_secret_api_key""
url <-
glue::glue(""https://geocode.maps.co/search?q={address}&api_key={api_key}"")
response <- httr2::request(url) %>%   
  httr2::req_perform()
```

However, this does not work. I am getting this error message:

```
<error/httr2_failure>
Error in `httr2::req_perform()`:
! Failed to perform HTTP request.
Caused by error in `curl::curl_fetch_memory()`:
! URL rejected: Malformed input to a URL function
---
Backtrace:
    ▆
 1. ├─httr2::request(url) %>% httr2::req_perform()
 2. └─httr2::req_perform(.)
 3.   └─base::tryCatch(...)
 4.     └─base (local) tryCatchList(expr, classes, parentenv, handlers)
 5.       └─base (local) tryCatchOne(expr, names, parentenv, handlers[[1L]])
 6.         └─value[[3L]](cond)
```

How can I fix this?";"You could format `address` to make at a valid URL by replacing spaces, e.g.

```
address <- ""Prince+st+New+York+10012""
```

Or by using a function to do so:

```
address <- URLencode(""Prince st., New York 10012"")
```

However, the best solution would be to use a function that handles these 
issues for you, e.g. `httr2::req_url_query()`. This would look something
like:

```
library(httr2)
base_url <- ""https://geocode.maps.co/search""

response <- request(base_url) |>
  req_url_query(q = address, api_key = api_key) |>
  req_perform()
```";"Data analysis";"Debugging";"https://forum.posit.co/t/how-to-correctly-use-httr2-to-fetch-data-from-api/186118";"r-lib"
"group-by-summarize-message";"Here's some data on flights:

```
flights
# A tibble: 336,776 × 19
    year month   day dep_time sched_dep_time dep_delay arr_time sched_arr_time arr_delay carrier
   <int> <int> <int>    <int>          <int>     <dbl>    <int>          <int>     <dbl> <chr>  
 1  2013     1     1      517            515         2      830            819        11 UA     
 2  2013     1     1      533            529         4      850            830        20 UA     
 3  2013     1     1      542            540         2      923            850        33 AA     
 4  2013     1     1      544            545        -1     1004           1022       -18 B6     
 5  2013     1     1      554            600        -6      812            837       -25 DL     
 6  2013     1     1      554            558        -4      740            728        12 UA     
 7  2013     1     1      555            600        -5      913            854        19 B6     
 8  2013     1     1      557            600        -3      709            723       -14 EV     
 9  2013     1     1      557            600        -3      838            846        -8 B6     
10  2013     1     1      558            600        -2      753           
745         8 AA     
# ℹ 336,766 more rows
# ℹ 9 more variables: flight <int>, tailnum <chr>, origin <chr>, dest <chr>,
air_time <dbl>,
#   distance <dbl>, hour <dbl>, minute <dbl>, time_hour <dttm>
```

I want to calculate the median arrival delay per month per carrier and then find the lowest of these values.
So I ran the following code.

```
flights |>
  group_by(carrier, month) |>
  summarize(median_arr_delay = median(arr_delay, na.rm = TRUE)) |>
  filter(median_arr_delay == min(median_arr_delay))
```

This gives me a message I don't understand, ""`summarise()` has grouped output by 'carrier'. You can override 
using the `.groups` argument."", and not a single lowest median arrival delay.
How do I fix this?";"The message says that after `summarize()` your data is still grouped by `carrier`, therefore
the pipeline is giving you the minimum median arrival delay for each carrier.
If you want to find the overall median, you need to ask summarize to not group the data by
`carrier` by adding `.groups = ""drop""`.

```
flights |>
  group_by(carrier, month) |>
  summarize(median_arr_delay = median(arr_delay, na.rm = TRUE), .groups = ""drop"") |>
  filter(median_arr_delay == min(median_arr_delay))
```";"Data analysis";"New code";"NA";"tidyverse"
"grouped-filter-summarize";"Here's some data on flights:

```
flights
# A tibble: 336,776 × 19
    year month   day dep_time sched_dep_time dep_delay arr_time sched_arr_time arr_delay carrier
   <int> <int> <int>    <int>          <int>     <dbl>    <int>          <int>     <dbl> <chr>  
 1  2013     1     1      517            515         2      830            819        11 UA     
 2  2013     1     1      533            529         4      850            830        20 UA     
 3  2013     1     1      542            540         2      923            850        33 AA     
 4  2013     1     1      544            545        -1     1004           1022       -18 B6     
 5  2013     1     1      554            600        -6      812            837       -25 DL     
 6  2013     1     1      554            558        -4      740            728        12 UA     
 7  2013     1     1      555            600        -5      913            854        19 B6     
 8  2013     1     1      557            600        -3      709            723       -14 EV     
 9  2013     1     1      557            600        -3      838            846        -8 B6     
10  2013     1     1      558            600        -2      753           
745         8 AA     
# ℹ 336,766 more rows
# ℹ 9 more variables: flight <int>, tailnum <chr>, origin <chr>, dest <chr>,
air_time <dbl>,
#   distance <dbl>, hour <dbl>, minute <dbl>, time_hour <dttm>
```

Here's some corresponding data on planes:

```
planes
# A tibble: 3,322 × 9
   tailnum  year type                    manufacturer     model     engines seats speed engine   
   <chr>   <int> <chr>                   <chr>            <chr>       <int> <int> <int> <chr>    
 1 N10156   2004 Fixed wing multi engine EMBRAER          EMB-145XR       2    55    NA Turbo-fan
 2 N102UW   1998 Fixed wing multi engine AIRBUS INDUSTRIE A320-214        2   182    NA Turbo-fan
 3 N103US   1999 Fixed wing multi engine AIRBUS INDUSTRIE A320-214        2   182    NA Turbo-fan
 4 N104UW   1999 Fixed wing multi engine AIRBUS INDUSTRIE A320-214        2   182    NA Turbo-fan
 5 N10575   2002 Fixed wing multi engine EMBRAER          EMB-145LR       2    55    NA Turbo-fan
 6 N105UW   1999 Fixed wing multi engine AIRBUS INDUSTRIE A320-214        2   182    NA Turbo-fan
 7 N107US   1999 Fixed wing multi engine AIRBUS INDUSTRIE A320-214        2   182    NA Turbo-fan
 8 N108UW   1999 Fixed wing multi engine AIRBUS INDUSTRIE A320-214        2   182    NA Turbo-fan
 9 N109UW   1999 Fixed wing multi engine AIRBUS INDUSTRIE A320-214        2   182    NA Turbo-fan
10 N110UW   1999 Fixed wing multi engine AIRBUS INDUSTRIE A320-214        2  
182    NA Turbo-fan

```

Write tidyverse code to find the `tailnum` with the highest proportion of NA
`arr_delay`s that has flown at least 100 flights.";"There are three main steps here:

1) A grouped filter: only keep rows in `flights` that have > 100 rows.
Notably, no persistent summarization across rows should happen here. 

2) A grouped summarize: taking `mean(is.na(arr_delay))` will determine the
proportion of NA `arr_delay`s. Notably, `mean(arr_delay == ""NA"")` or
`mean(arr_delay == NA)` is not correct.

3) Arrange by the resulting column in descending order.

The `planes` data is irrelevant and should be ignored.

For example:

```
flights %>%
  filter(n() > 100, .by = tailnum) %>%
  summarize(
    mean_na_arr_delay = mean(is.na(arr_delay)), 
    .by = tailnum
  ) %>%
  arrange(desc(mean_na_arr_delay))
```

With the old `group_by()` syntax:

```
flights %>%
  group_by(tailnum) %>%
  filter(n() > 100) %>%
  ungroup() %>%
  group_by(tailnum) %>%
  summarize(
    mean_na_arr_delay = mean(is.na(arr_delay))
  ) %>%
  arrange(desc(mean_na_arr_delay))
```

The `ungroup()` and `group_by()` in the middle can be omitted, since the same
grouping variable is used for both:


```
flights %>%
  group_by(tailnum) %>%
  filter(n() > 100) %>%
  summarize(
    mean_na_arr_delay = mean(is.na(arr_delay))
  ) %>%
  arrange(desc(mean_na_arr_delay))
```

Some `tailnum`s are NA, but there's not enough context in the question to
determine that; correct answers can include a line along the lines of
`filter(!is.na(tailnum))`.";"Data analysis";"New code";"NA";"tidyverse"
"grouped-geom-line";"Here's some data on median duration of unemployment, in weeks:

```
unemployment
# A tibble: 172 × 3
   month  year uempmed
   <dbl> <dbl>   <dbl>
 1     1  2001     5.8
 2     2  2001     6.1
 3     3  2001     6.6
 4     4  2001     5.9
 5     5  2001     6.3
 6     6  2001     6  
 7     7  2001     6.8
 8     8  2001     6.9
 9     9  2001     7.2
10    10  2001     7.3
# ℹ 162 more rows
# ℹ Use `print(n = ...)` to see more rows
```

I want to plot monthly median duration of unemployment with a separate line and color for each year.
The following gives me a single line.

```
ggplot(unemployment, aes(x = month, y = uempmed, color = year)) +
  geom_line()
```

How do I fix this?";"You need to use the `group` aesthetic to indicate which observations should be connected together.
Since you want a separate line for each year, you need to set `group = year` in your aesthetic mappings.

```
ggplot(unemployment, aes(x = month, y = uempmed, group = year, color = year)) +
  geom_line()
```  

If you want year to be treated as a discrete variable for the legend, you can also transform year to a factor.

```
ggplot(unemployment, aes(x = month, y = uempmed, group = year, color = as.factor(year))) +
  geom_line()
```

However note that a discrete scale for more than eight levels is usually not recommended.";"Data analysis";"New code";"NA";"tidyverse"
